chebi1, name1, chebi2, name2, rhea, equation
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/26426,"ATP + H2O + L-glutamine + UTP = ADP + CTP + 2 H(+) + L-glutamate + phosphate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/31507,"aldehydo-D-ribose 5-phosphate + D-glyceraldehyde 3-phosphate + L-glutamine = H(+) + 3 H2O + L-glutamate + phosphate + pyridoxal 5'-phosphate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/34547,"ATP + cob(II)yrinate + H2O + L-glutamine = ADP + cob(II)yrinate c monoamide + H(+) + L-glutamate + phosphate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/34551,"ATP + cob(II)yrinate c monoamide + H2O + L-glutamine = ADP + cob(II)yrinate a,c diamide + H(+) + L-glutamate + phosphate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/52896,"2 ATP + 2 H2O + 2 L-glutamine + Ni-sirohydrochlorin = 2 ADP + 2 H(+) + 2 L-glutamate + Ni-sirohydrochlorin a,c-diamide + 2 phosphate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/54084,"7-cyano-7-carbaguanosine(15) in tRNA + H2O + L-glutamine = archaeosine(15) in tRNA + L-glutamate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/57928,"ATP + beta-D-GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-di-trans,octa-cis-undecaprenyl diphosphate + H2O + L-glutamine = ADP + beta-D-GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-D-isoglutaminyl-L-Lys-D-Ala-D-Ala)-di-trans,octa-cis-undecaprenyl diphosphate + H(+) + L-glutamate + phosphate"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/69528,"chorismate + H2O + 2 L-glutamine = 4-amino-4-deoxychorismate + 2 L-glutamate + NH4(+)"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/69568,"(2S)-2-amino-4-deoxychorismate + H2O + L-glutamine = 4-amino-4-deoxychorismate + L-glutamate + NH4(+)"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/70883,"H(+)(out) + L-glutamate(out) + L-glutamine(in) + Na(+)(out) = H(+)(in) + L-glutamate(in) + L-glutamine(out) + Na(+)(in)"
http://purl.obolibrary.org/obo/CHEBI_29985,"L-glutamate",http://purl.obolibrary.org/obo/CHEBI_58359,"L-glutamine",http://rdf.rhea-db.org/70883,"H(+)(out) + L-glutamate(out) + L-glutamine(in) + Na(+)(out) = H(+)(in) + L-glutamate(in) + L-glutamine(out) + Na(+)(in)"
